id,domanda,coco_id
131093,Are there three sheep?,COCO_train2014_000000131093.jpg

524311,What is the man playing?,COCO_train2014_000000524311.jpg

524311,Is the man having a good time?,COCO_train2014_000000524311.jpg

524311,What does the man have on his face?,COCO_train2014_000000524311.jpg

25,What is in front of the giraffes?,COCO_train2014_000000000025.jpg

25,What do these giraffes have in common?,COCO_train2014_000000000025.jpg

25,Could this photo be from a zoo?,COCO_train2014_000000000025.jpg

25,Are the animals eating?,COCO_train2014_000000000025.jpg

25,Where is the giraffe?,COCO_train2014_000000000025.jpg

25,Is there a zebra?,COCO_train2014_000000000025.jpg

25,What is the giraffe standing behind?,COCO_train2014_000000000025.jpg

25,Is the giraffe eating the tree?,COCO_train2014_000000000025.jpg

25,Are both giraffes standing?,COCO_train2014_000000000025.jpg

25,Are they at a zoo?,COCO_train2014_000000000025.jpg

25,What is on the ground next to the giraffe on the right?,COCO_train2014_000000000025.jpg

25,Are some of the trees dead?,COCO_train2014_000000000025.jpg

25,Are any of the animals eating?,COCO_train2014_000000000025.jpg

25,Is the giraffe in the shade?,COCO_train2014_000000000025.jpg

25,Are these giraffes living free range?,COCO_train2014_000000000025.jpg

25,How many giraffes are there?,COCO_train2014_000000000025.jpg

25,Is there a rock near the giraffe?,COCO_train2014_000000000025.jpg

25,How many animals are in this photo?,COCO_train2014_000000000025.jpg

524314,Why is the man on the street?,COCO_train2014_000000524314.jpg

524314,How is the man sitting?,COCO_train2014_000000524314.jpg

524314,"What does the word in the upper-left corner, behind the window, translate to in English?",COCO_train2014_000000524314.jpg

262171,How many people are on the boat?,COCO_train2014_000000262171.jpg

262171,What color are the leaves?,COCO_train2014_000000262171.jpg

262171,What type of watercraft is that?,COCO_train2014_000000262171.jpg

262172,Where are the two blue coolers?,COCO_train2014_000000262172.jpg

262172,What kind of room is this?,COCO_train2014_000000262172.jpg

262172,Are they moving?,COCO_train2014_000000262172.jpg

131101,What color is the umbrella?,COCO_train2014_000000131101.jpg

131101,Is this man angry?,COCO_train2014_000000131101.jpg

131101,Which hand holds the umbrella?,COCO_train2014_000000131101.jpg

30,Are there flowers in the vase?,COCO_train2014_000000000030.jpg

30,What is the vase sitting on?,COCO_train2014_000000000030.jpg

30,Is the sun to the right or left of this flower?,COCO_train2014_000000000030.jpg

30,Are the flowers open?,COCO_train2014_000000000030.jpg

30,What color is the vase?,COCO_train2014_000000000030.jpg

30,Are all the flowers white?,COCO_train2014_000000000030.jpg

524320,Is the man standing on both foot?,COCO_train2014_000000524320.jpg

524320,Was this picture likely taken recently?,COCO_train2014_000000524320.jpg

524320,Do the gentleman's socks match his shoes and belt?,COCO_train2014_000000524320.jpg

240304,What is the zebra eating?,COCO_train2014_000000240304.jpg

240304,Are the zebras facing the same direction?,COCO_train2014_000000240304.jpg

240304,What is the tree covered with?,COCO_train2014_000000240304.jpg

34,Is this a horse?,COCO_train2014_000000000034.jpg

34,What is the animal eating?,COCO_train2014_000000000034.jpg

34,How old is animal?,COCO_train2014_000000000034.jpg

393251,Are they drinking wine at the child's party?,COCO_train2014_000000393251.jpg

393251,Is the man wearing glasses?,COCO_train2014_000000393251.jpg

393251,What is the man holding?,COCO_train2014_000000393251.jpg

393251,What is the man cutting?,COCO_train2014_000000393251.jpg

262180,What is the fruit?,COCO_train2014_000000262180.jpg

262180,Is this a good dessert?,COCO_train2014_000000262180.jpg

262180,What is the name of the type of person that would make this food?,COCO_train2014_000000262180.jpg

262180,What type of ice cream is on the plate?,COCO_train2014_000000262180.jpg

524325,How many people are wearing shorts in the forefront of this photo?,COCO_train2014_000000524325.jpg

524325,Is this an indoor or outdoor photo?,COCO_train2014_000000524325.jpg

524325,Are those kites in the air?,COCO_train2014_000000524325.jpg

43697,Is this a hot dog?,COCO_train2014_000000043697.jpg

43697,What color is the napkin?,COCO_train2014_000000043697.jpg

43697,Is there ketchup on the hot dog?,COCO_train2014_000000043697.jpg

43697,Has this hot dog been grilled?,COCO_train2014_000000043697.jpg

43697,Have you tried a hot dog like this before?,COCO_train2014_000000043697.jpg

43697,What's missing from this hot dog?,COCO_train2014_000000043697.jpg

43697,What is the hog dog sitting on?,COCO_train2014_000000043697.jpg

262184,Is this a toy-sized truck?,COCO_train2014_000000262184.jpg

262184,What is the sky full of?,COCO_train2014_000000262184.jpg

262184,Where are the trucks?,COCO_train2014_000000262184.jpg

131113,What is the color of the carpet?,COCO_train2014_000000131113.jpg

131113,Is there a carpet on the floor?,COCO_train2014_000000131113.jpg
